geohash6,hour,median_demand_per_geo
qp02yc,0.0,0.0
qp02yf,0.0,0.0
qp02yv,0.0,0.0
qp02yy,0.0,0.0
qp02yz,0.0,0.0
qp02z1,0.0,0.0
qp02z3,0.0,0.0
qp02z4,0.0,0.0
qp02z5,0.0,0.0
qp02z6,0.0,0.0
qp02z7,0.0,0.0
qp02z9,0.0,0.0
qp02zc,0.0,0.0
qp02zd,0.0,0.0
qp02ze,0.0,0.010584473912460198
qp02zf,0.0,0.0
qp02zg,0.0,0.0
qp02zh,0.0,0.0
qp02zj,0.0,0.0
qp02zk,0.0,0.0
qp02zm,0.0,0.0
qp02zn,0.0,0.0
qp02zp,0.0,0.0
qp02zq,0.0,0.0
qp02zr,0.0,0.008055077918885887
qp02zs,0.0,0.0
qp02zt,0.0,0.07380028204387967
qp02zu,0.0,0.0
qp02zv,0.0,0.0
qp02zw,0.0,0.07517981526081659
qp02zx,0.0,0.09851568167502395
qp02zy,0.0,0.04354789256775575
qp02zz,0.0,0.1927553081926679
qp03jq,0.0,0.018495399809440143
qp03jr,0.0,0.03055815294758702
qp03jw,0.0,0.023895409177367884
qp03jx,0.0,0.013014627390868894
qp03jy,0.0,0.021091528306927093
qp03jz,0.0,0.021852998743290906
qp03m2,0.0,0.012722482438157667
qp03m3,0.0,0.00039958769570751495
qp03m6,0.0,0.045423049830783185
qp03m7,0.0,0.014416449391276318
qp03m8,0.0,0.015822554064241996
qp03m9,0.0,0.014510498745570269
qp03mb,0.0,0.05518465957075057
qp03mc,0.0,0.017912255281787158
qp03md,0.0,0.013609831872919982
qp03me,0.0,0.03455007463231911
qp03mf,0.0,0.027303047153300192
qp03mg,0.0,0.08069941167326597
qp03mk,0.0,0.011382007628122807
qp03mm,0.0,0.0004025430527228881
qp03mq,0.0,0.004809661177642723
qp03mr,0.0,0.001194567221515233
qp03ms,0.0,0.02221310269227139
qp03mt,0.0,0.03064471454212927
qp03mu,0.0,0.0413545163208698
qp03mv,0.0,0.061976099804227705
qp03mw,0.0,0.037462353211997146
qp03mx,0.0,0.0
qp03my,0.0,0.08215167939870438
qp03mz,0.0,0.048503749863587776
qp03nb,0.0,0.0
qp03nd,0.0,0.0
qp03nf,0.0,0.0
qp03nn,0.0,0.0
qp03np,0.0,0.0
qp03nq,0.0,0.02981420818421531
qp03nr,0.0,0.05469207833441196
qp03nw,0.0,0.04739772748918762
qp03nx,0.0,0.06115222647510445
qp03ny,0.0,0.11088808605156508
qp03nz,0.0,0.16143467437819148
qp03p0,0.0,0.0
qp03p1,0.0,0.0
qp03p2,0.0,0.023121150389981027
qp03p3,0.0,0.004574228664832871
qp03p4,0.0,0.0
qp03p5,0.0,0.0
qp03p6,0.0,0.03499357559562709
qp03p7,0.0,0.0
qp03p8,0.0,0.0026154987142118337
qp03p9,0.0,0.0
qp03pb,0.0,0.03232737619407935
qp03pc,0.0,0.0
qp03pd,0.0,0.019830087074847222
qp03pe,0.0,0.010610383764673735
qp03pf,0.0,0.0
qp03pg,0.0,0.0
qp03pj,0.0,0.0
qp03pk,0.0,0.0
qp03pm,0.0,0.0
qp03pn,0.0,0.021988135386749284
qp03pp,0.0,0.14864904511853214
qp03pq,0.0,0.04052728907249101
qp03pr,0.0,0.11426079689278779
qp03ps,0.0,0.00217623724402568
qp03pt,0.0,0.0
qp03pu,0.0,0.0
qp03pv,0.0,0.0
qp03pw,0.0,0.03271633569180199
qp03px,0.0,0.06998649177248142
qp03py,0.0,0.017355477319135004
qp03pz,0.0,0.05871931000995001
qp03q0,0.0,0.028984471373659483
qp03q1,0.0,0.03410197797284355
qp03q2,0.0,0.07934347144963208
qp03q3,0.0,0.07385315426056441
qp03q4,0.0,0.016775397163813793
qp03q5,0.0,0.06744720142520193
qp03q6,0.0,0.07233621208566174
qp03q7,0.0,0.05013878985650923
qp03q8,0.0,0.06630711816456483
qp03q9,0.0,0.14542267992097616
qp03qb,0.0,0.09635045321372529
qp03qc,0.0,0.11582090434077424
qp03qd,0.0,0.15092938643711717
qp03qe,0.0,0.13172529001923433
qp03qf,0.0,0.22480532954566934
qp03qg,0.0,0.44069312312680564
qp03qh,0.0,0.06192118847336299
qp03qj,0.0,0.20759332437588865
qp03qk,0.0,0.017736401158829178
qp03qm,0.0,0.18912089804756393
qp03qn,0.0,0.02717194330796187
qp03qp,0.0,0.0
qp03qq,0.0,0.024951403819323655
qp03qr,0.0,0.0014155002223374766
qp03qs,0.0,0.12798583225062843
qp03qt,0.0,0.0
qp03qu,0.0,0.14679102244129932
qp03qv,0.0,0.08660425742563829
qp03qw,0.0,0.0
qp03qx,0.0,0.002629151287897659
qp03qy,0.0,0.10710161228831619
qp03qz,0.0,0.0007923823539172294
qp03r0,0.0,0.12312178822328837
qp03r1,0.0,0.15156588202560353
qp03r2,0.0,0.19585939691871418
qp03r3,0.0,0.107663613190487
qp03r4,0.0,0.11120415442026454
qp03r5,0.0,0.07351483031278074
qp03r6,0.0,0.11480838260836826
qp03r7,0.0,0.015760882425766634
qp03r8,0.0,0.06553484774452237
qp03r9,0.0,0.09194097063697909
qp03rb,0.0,0.026170928688326957
qp03rc,0.0,0.013080896589540855
qp03rd,0.0,0.05804485543289075
qp03re,0.0,0.1207228971147743
qp03rf,0.0,0.059441932523061486
qp03rg,0.0,0.05656237677325272
qp03rh,0.0,0.09115885879816507
qp03rj,0.0,0.10342750493212771
qp03rk,0.0,0.0665281520129399
qp03rm,0.0,0.20467050345104948
qp03rn,0.0,0.06220993446217346
qp03rp,0.0,0.06319979343819006
qp03rq,0.0,0.09135939562202577
qp03rr,0.0,0.10987716761480196
qp03rs,0.0,0.047578161047884364
qp03rt,0.0,0.12564509448158645
qp03ru,0.0,0.12383894945075948
qp03rv,0.0,0.1367558734632051
qp03rw,0.0,0.165017947322248
qp03rx,0.0,0.12078923824282152
qp03ry,0.0,0.16612781344141553
qp03rz,0.0,0.11801962660702817
qp03t2,0.0,0.0036069999028433197
qp03t3,0.0,0.014459360857324988
qp03t6,0.0,0.012003808629685888
qp03t7,0.0,0.019774015036260542
qp03t8,0.0,0.043737227661074324
