geohash6,week_day,median_demand_per_week
qp02yc,0.0,0.0
qp02yf,0.0,0.0
qp02yv,0.0,0.0
qp02yy,0.0,0.0
qp02yz,0.0,0.0
qp02z1,0.0,0.0
qp02z3,0.0,0.0
qp02z4,0.0,0.0
qp02z5,0.0,0.0
qp02z6,0.0,0.0
qp02z7,0.0,0.0
qp02z9,0.0,0.0
qp02zc,0.0,0.0
qp02zd,0.0,0.0
qp02ze,0.0,0.015641193230365426
qp02zf,0.0,0.0
qp02zg,0.0,0.0
qp02zh,0.0,0.003038089077280402
qp02zj,0.0,0.053857120313010605
qp02zk,0.0,0.0
qp02zm,0.0,0.012376807127466541
qp02zn,0.0,0.02263124475493626
qp02zp,0.0,0.0
qp02zq,0.0,0.0
qp02zr,0.0,0.03017781409965018
qp02zs,0.0,0.001714726662038494
qp02zt,0.0,0.12833495047591015
qp02zu,0.0,0.0
qp02zv,0.0,0.0
qp02zw,0.0,0.6486262754655316
qp02zx,0.0,0.2223283548608635
qp02zy,0.0,0.06833986496887517
qp02zz,0.0,0.36267942538679
qp03jq,0.0,0.017043729904297422
qp03jr,0.0,0.015456285274243978
qp03jw,0.0,0.019376493653003254
qp03jx,0.0,0.011062166912089277
qp03jy,0.0,0.017029410538611255
qp03jz,0.0,0.018445313768812262
qp03m2,0.0,0.006896292187461361
qp03m3,0.0,0.0
qp03m6,0.0,0.04579403776010046
qp03m7,0.0,0.007278774235702848
qp03m8,0.0,0.01181767346425509
qp03m9,0.0,0.01463407773746753
qp03mb,0.0,0.054450465454350096
qp03mc,0.0,0.01830228586966123
qp03md,0.0,0.008836604937703461
qp03me,0.0,0.023565874067536793
qp03mf,0.0,0.022219149674626293
qp03mg,0.0,0.10919717777201834
qp03mk,0.0,0.002587428242412603
qp03mm,0.0,0.0
qp03mq,0.0,0.0003307343457098603
qp03mr,0.0,0.0
qp03ms,0.0,0.007611834805860555
qp03mt,0.0,0.02164953648230737
qp03mu,0.0,0.03696320049316143
qp03mv,0.0,0.0411162407357526
qp03mw,0.0,0.02312465026186364
qp03mx,0.0,0.0
qp03my,0.0,0.051902097802848005
qp03mz,0.0,0.029824357813209114
qp03nb,0.0,0.0
qp03nd,0.0,0.0
qp03nf,0.0,0.0
qp03nn,0.0,0.0
qp03np,0.0,0.0
qp03nq,0.0,0.05024082319439676
qp03nr,0.0,0.0737679619760833
qp03nw,0.0,0.05011048976448371
qp03nx,0.0,0.050589987656999395
qp03ny,0.0,0.12601540649671572
qp03nz,0.0,0.15873342246687688
qp03p0,0.0,0.0
qp03p1,0.0,0.0
qp03p2,0.0,0.10210340891685572
qp03p3,0.0,0.01948365573592535
qp03p4,0.0,0.0
qp03p5,0.0,0.0
qp03p6,0.0,0.0005139290596752248
qp03p7,0.0,0.0
qp03p8,0.0,0.03144334411293259
qp03p9,0.0,0.010350990112212865
qp03pb,0.0,0.0624988206730719
qp03pc,0.0,0.0
qp03pd,0.0,0.05951608272360612
qp03pe,0.0,0.033372501596757156
qp03pf,0.0,0.0
qp03pg,0.0,0.0
qp03pj,0.0,0.0
qp03pk,0.0,0.0
qp03pm,0.0,0.0
qp03pn,0.0,0.02261769403219576
qp03pp,0.0,0.1636761596999784
qp03pq,0.0,0.03973356213654884
qp03pr,0.0,0.14904545881412368
qp03ps,0.0,0.0
qp03pt,0.0,0.004887899947587896
qp03pu,0.0,0.0
qp03pv,0.0,0.0
qp03pw,0.0,0.019165670826754955
qp03px,0.0,0.045402781348306526
qp03py,0.0,0.0069931475927595705
qp03pz,0.0,0.031892159753480795
qp03q0,0.0,0.01585820079377131
qp03q1,0.0,0.02792272589135846
qp03q2,0.0,0.08004783116521086
qp03q3,0.0,0.05714971811867778
qp03q4,0.0,0.024310836870935444
qp03q5,0.0,0.055223977297609986
qp03q6,0.0,0.04670260475189554
qp03q7,0.0,0.04381301771527407
qp03q8,0.0,0.052478201035935174
qp03q9,0.0,0.09609672614320695
qp03qb,0.0,0.08790771095412304
qp03qc,0.0,0.08905137357664938
qp03qd,0.0,0.1109023960535983
qp03qe,0.0,0.08897457700877923
qp03qf,0.0,0.26345657930946753
qp03qg,0.0,0.49203291693832735
qp03qh,0.0,0.043421215574452984
qp03qj,0.0,0.19244263848517187
qp03qk,0.0,0.015797461569235255
qp03qm,0.0,0.19095566240305142
qp03qn,0.0,0.024902992178178294
qp03qp,0.0,0.0
qp03qq,0.0,0.029821931840902642
qp03qr,0.0,0.0
qp03qs,0.0,0.10727235836873597
qp03qt,0.0,0.0
qp03qu,0.0,0.11173911406336215
qp03qv,0.0,0.07097050610499003
qp03qw,0.0,0.0
qp03qx,0.0,0.0038329075083504294
qp03qy,0.0,0.17406280588366518
qp03qz,0.0,0.00957738275017906
qp03r0,0.0,0.1567092778515613
qp03r1,0.0,0.16063257632603964
qp03r2,0.0,0.2731333929180835
qp03r3,0.0,0.13272127487899185
qp03r4,0.0,0.09565144170286438
qp03r5,0.0,0.06065107380322565
qp03r6,0.0,0.11061796209735858
qp03r7,0.0,0.016221582720349598
qp03r8,0.0,0.06567738677300976
qp03r9,0.0,0.10724252706753987
qp03rb,0.0,0.015223090908074416
qp03rc,0.0,0.007431546114443478
qp03rd,0.0,0.04989388997821152
qp03re,0.0,0.1312550645373683
qp03rf,0.0,0.0722039418607486
qp03rg,0.0,0.0661535722732301
qp03rh,0.0,0.09802990800074457
qp03rj,0.0,0.061492341092394466
qp03rk,0.0,0.059736966453819845
qp03rm,0.0,0.134850789104065
qp03rn,0.0,0.06495729588976787
qp03rp,0.0,0.07708674641536724
qp03rq,0.0,0.06334254116016702
qp03rr,0.0,0.06939671462898885
qp03rs,0.0,0.029863530401762532
qp03rt,0.0,0.12105799281611618
qp03ru,0.0,0.07470605767138654
qp03rv,0.0,0.08564475033062377
qp03rw,0.0,0.15757107375684343
qp03rx,0.0,0.06585760392381543
qp03ry,0.0,0.10637828070654884
qp03rz,0.0,0.07083120133588999
qp03t2,0.0,0.0
qp03t3,0.0,0.007203377076002949
qp03t6,0.0,0.007326500760907363
qp03t7,0.0,0.011064125793817933
qp03t8,0.0,0.03418955058570235
