geohash6,week_day,mean_demand_per_week
qp02yc,0.0,0.00277419778146063
qp02yf,0.0,3.735070050656546e-05
qp02yv,0.0,0.0
qp02yy,0.0,0.0003411987715109547
qp02yz,0.0,0.003253922341484163
qp02z1,0.0,0.003995622842907098
qp02z3,0.0,0.002134544807706318
qp02z4,0.0,0.0006097765955425764
qp02z5,0.0,0.006749530901648241
qp02z6,0.0,0.014357797251513501
qp02z7,0.0,0.024849255690058993
qp02z9,0.0,0.004928134478179559
qp02zc,0.0,0.024412983871330365
qp02zd,0.0,0.022127293191258873
qp02ze,0.0,0.03988062790274559
qp02zf,0.0,0.0028737534002774914
qp02zg,0.0,0.017142763717824153
qp02zh,0.0,0.039963644887091296
qp02zj,0.0,0.08962976017233933
qp02zk,0.0,0.025366612144900675
qp02zm,0.0,0.035596826157414906
qp02zn,0.0,0.06224821892379736
qp02zp,0.0,0.030589552257701238
qp02zq,0.0,0.02745944492522351
qp02zr,0.0,0.05191303307604487
qp02zs,0.0,0.038002610518384584
qp02zt,0.0,0.12879308468779369
qp02zu,0.0,0.010213634179601373
qp02zv,0.0,0.033433291338095646
qp02zw,0.0,0.5194091526450283
qp02zx,0.0,0.21234310381206822
qp02zy,0.0,0.08363496488251826
qp02zz,0.0,0.48643539914481554
qp03jq,0.0,0.018726998945793327
qp03jr,0.0,0.017967748298483525
qp03jw,0.0,0.020067384972218178
qp03jx,0.0,0.012852574583063998
qp03jy,0.0,0.019684386710480648
qp03jz,0.0,0.01988981140687168
qp03m2,0.0,0.009627134430183029
qp03m3,0.0,0.003914963500183311
qp03m6,0.0,0.04361940599592423
qp03m7,0.0,0.01211639630694796
qp03m8,0.0,0.014697816925140673
qp03m9,0.0,0.015699449062893445
qp03mb,0.0,0.051321223159045755
qp03mc,0.0,0.020131464193735467
qp03md,0.0,0.011466765230384014
qp03me,0.0,0.025112472387040934
qp03mf,0.0,0.024949131248534845
qp03mg,0.0,0.11903644658944128
qp03mk,0.0,0.007093310426085564
qp03mm,0.0,0.0020890974577444004
qp03mq,0.0,0.00588262775504115
qp03mr,0.0,0.003755705589107759
qp03ms,0.0,0.011364314856081706
qp03mt,0.0,0.022540246674916904
qp03mu,0.0,0.03741445706557114
qp03mv,0.0,0.041413582042437024
qp03mw,0.0,0.025621669612297306
qp03mx,0.0,0.0019158431945603144
qp03my,0.0,0.05514390550148263
qp03mz,0.0,0.033687266512080254
qp03nb,0.0,0.022962537175910513
qp03nd,0.0,0.006855348459433691
qp03nf,0.0,0.010407671669077117
qp03nn,0.0,0.00030744619634852214
qp03np,0.0,0.0018545810684337043
qp03nq,0.0,0.05950962915903471
qp03nr,0.0,0.07626900317603381
qp03nw,0.0,0.04754279755934223
qp03nx,0.0,0.047529850004702674
qp03ny,0.0,0.1283815063270005
qp03nz,0.0,0.1504407944530986
qp03p0,0.0,0.017434024854685887
qp03p1,0.0,0.007161853644909936
qp03p2,0.0,0.16382723256963752
qp03p3,0.0,0.041639495248942025
qp03p4,0.0,0.007103723479843828
qp03p5,0.0,0.0005944370051770727
qp03p6,0.0,0.02769226646478727
qp03p7,0.0,0.024479803535823172
qp03p8,0.0,0.06140506196385346
qp03p9,0.0,0.03638564420338893
qp03pb,0.0,0.0705451109727797
qp03pc,0.0,0.02399293832143876
qp03pd,0.0,0.07899381083357575
qp03pe,0.0,0.04909788559022161
qp03pf,0.0,0.018479612227997155
qp03pg,0.0,0.0002016381824341926
qp03pj,0.0,2.5468952511011713e-05
qp03pk,0.0,0.012834438390269392
qp03pm,0.0,0.0023811431863600733
qp03pn,0.0,0.036454902858129544
qp03pp,0.0,0.16166034996611886
qp03pq,0.0,0.036110126906118936
qp03pr,0.0,0.15646300113743597
qp03ps,0.0,0.018229191783336537
qp03pt,0.0,0.02505896040506532
qp03pu,0.0,6.811112605111047e-05
qp03pv,0.0,0.006341323445147613
qp03pw,0.0,0.021243660755614315
qp03px,0.0,0.04442715701188618
qp03py,0.0,0.01056395084843101
qp03pz,0.0,0.032706051457543205
qp03q0,0.0,0.01735788578758871
qp03q1,0.0,0.02629834983320811
qp03q2,0.0,0.07842618457428636
qp03q3,0.0,0.051323938630150424
qp03q4,0.0,0.04029533263411162
qp03q5,0.0,0.05161119135775679
qp03q6,0.0,0.04678225362027524
qp03q7,0.0,0.043102211432480664
qp03q8,0.0,0.04927791949926317
qp03q9,0.0,0.09103380286641544
qp03qb,0.0,0.079410925847626
qp03qc,0.0,0.07985352833667188
qp03qd,0.0,0.10206417027394238
qp03qe,0.0,0.08919718971478396
qp03qf,0.0,0.25080501061357463
qp03qg,0.0,0.4925707530723023
qp03qh,0.0,0.04430697666882913
qp03qj,0.0,0.20169012916493181
qp03qk,0.0,0.018016865231950622
qp03qm,0.0,0.2102685157610109
qp03qn,0.0,0.030013811474986368
qp03qp,0.0,0.0002394351172555671
qp03qq,0.0,0.035388115768119545
qp03qr,0.0,0.004096474395243492
qp03qs,0.0,0.09750346826483215
qp03qt,0.0,0.0023088264478019894
qp03qu,0.0,0.106538421063885
qp03qv,0.0,0.07142362007538622
qp03qw,0.0,0.001873320063173873
qp03qx,0.0,0.01023262895047339
qp03qy,0.0,0.2299937955313144
qp03qz,0.0,0.022922118266619645
qp03r0,0.0,0.15512883643117267
qp03r1,0.0,0.15484363305784843
qp03r2,0.0,0.2757041081270681
qp03r3,0.0,0.1286621373401316
qp03r4,0.0,0.0898847799757262
qp03r5,0.0,0.05876162753324072
qp03r6,0.0,0.101027665232045
qp03r7,0.0,0.01807532812159494
qp03r8,0.0,0.06067097027441476
qp03r9,0.0,0.10186281693592152
qp03rb,0.0,0.018098436118439608
qp03rc,0.0,0.014346068843866818
qp03rd,0.0,0.04547516942725568
qp03re,0.0,0.14420729568958104
qp03rf,0.0,0.08204970731052494
qp03rg,0.0,0.061068362380491424
qp03rh,0.0,0.10235568971786178
qp03rj,0.0,0.05892777572932736
qp03rk,0.0,0.05720089799451919
qp03rm,0.0,0.12453350191115448
qp03rn,0.0,0.06717141586505362
qp03rp,0.0,0.08058621087396522
qp03rq,0.0,0.06026359063728321
qp03rr,0.0,0.0661001948421862
qp03rs,0.0,0.030394571344461732
qp03rt,0.0,0.11119112674570136
qp03ru,0.0,0.07492203285690992
qp03rv,0.0,0.08749264371327899
qp03rw,0.0,0.14092245454011804
qp03rx,0.0,0.06761469016066309
qp03ry,0.0,0.09996171404037717
qp03rz,0.0,0.06988007872959406
qp03t2,0.0,0.003284919674966426
qp03t3,0.0,0.010723308362927642
qp03t6,0.0,0.009371609251411553
qp03t7,0.0,0.01455332490000151
qp03t8,0.0,0.03498660126494178
qp03t9,0.0,0.03905363534655248
qp03tb,0.0,0.04264640965664614
qp03tc,0.0,0.07102856228251009
qp03td,0.0,0.012500424114065434
qp03te,0.0,0.008454098712660625
qp03tf,0.0,0.02240919572150389
qp03tg,0.0,0.014721829161543321
qp03tk,0.0,0.0008413359753593604
qp03tm,0.0,0.0020450023041059316
qp03tq,0.0,0.0007096208562759734
qp03tr,0.0,9.069054967549783e-05
qp03ts,0.0,0.03377066904521365
qp03tt,0.0,0.0038933768833282357
qp03tu,0.0,0.022589379609184137
qp03tv,0.0,0.016967158532154875
qp03tw,0.0,0.005212135447046437
qp03tx,0.0,0.006119402526409547
