geohash6,hour,mean_demand_per_geo
qp02yc,0.0,0.00039280214845325553
qp02yf,0.0,0.0
qp02yv,0.0,0.0
qp02yy,0.0,0.0015298185628129309
qp02yz,0.0,0.00042205361071034783
qp02z1,0.0,0.013727504754849788
qp02z3,0.0,0.0011220543331898296
qp02z4,0.0,3.949761938118594e-06
qp02z5,0.0,0.0009664689357175889
qp02z6,0.0,0.0011129198005499744
qp02z7,0.0,0.004285251185553711
qp02z9,0.0,0.00266362718866703
qp02zc,0.0,0.009372358116242385
qp02zd,0.0,0.01087912701180611
qp02ze,0.0,0.023120942912628107
qp02zf,0.0,0.0008928096758045842
qp02zg,0.0,0.003393701645419141
qp02zh,0.0,0.004385881423144662
qp02zj,0.0,0.003167726500725882
qp02zk,0.0,0.005626136097509828
qp02zm,0.0,0.01162785671788495
qp02zn,0.0,0.005441697356582342
qp02zp,0.0,0.003711327049673964
qp02zq,0.0,0.011948902280324905
qp02zr,0.0,0.021492616082769495
qp02zs,0.0,0.006579601607324138
qp02zt,0.0,0.07914017687870073
qp02zu,0.0,0.0005817950924676845
qp02zv,0.0,0.007648194642292255
qp02zw,0.0,0.07605944089848005
qp02zx,0.0,0.10078651486517318
qp02zy,0.0,0.04906527270753378
qp02zz,0.0,0.19084341999814586
qp03jq,0.0,0.019490861917610243
qp03jr,0.0,0.03069326705913936
qp03jw,0.0,0.026499328724703092
qp03jx,0.0,0.014624437058323768
qp03jy,0.0,0.0236069857842451
qp03jz,0.0,0.022972279204083366
qp03m2,0.0,0.014338120442444246
qp03m3,0.0,0.004093709400077087
qp03m6,0.0,0.04741104640784514
qp03m7,0.0,0.017275101476544603
qp03m8,0.0,0.015985022504197772
qp03m9,0.0,0.017340030491434136
qp03mb,0.0,0.05739489207687288
qp03mc,0.0,0.020078275759534178
qp03md,0.0,0.014579009012597094
qp03me,0.0,0.03494916634689128
qp03mf,0.0,0.02851296378184101
qp03mg,0.0,0.08489761162494307
qp03mk,0.0,0.011698676045907649
qp03mm,0.0,0.004031904624520193
qp03mq,0.0,0.008564809530490637
qp03mr,0.0,0.004257702817338302
qp03ms,0.0,0.0239407815523914
qp03mt,0.0,0.03233009552914369
qp03mu,0.0,0.04302357625935749
qp03mv,0.0,0.06731280280151888
qp03mw,0.0,0.03758726517192131
qp03mx,0.0,0.0029131807679567256
qp03my,0.0,0.08739387460853056
qp03mz,0.0,0.051144481275517795
qp03nb,0.0,0.0008125447379527938
qp03nd,0.0,0.002461356314561081
qp03nf,0.0,0.002722339334278542
qp03nn,0.0,0.00028290043449643584
qp03np,0.0,0.0010434430491047548
qp03nq,0.0,0.03157020379821477
qp03nr,0.0,0.05319331218886804
qp03nw,0.0,0.04802104030862232
qp03nx,0.0,0.06442523339189003
qp03ny,0.0,0.1016125731794445
qp03nz,0.0,0.15431862454566572
qp03p0,0.0,0.006529440782810314
qp03p1,0.0,0.00507054125073167
qp03p2,0.0,0.028796033985592433
qp03p3,0.0,0.014265290014842625
qp03p4,0.0,0.0058338244483542995
qp03p5,0.0,0.0006026044252880976
qp03p6,0.0,0.03899800838908159
qp03p7,0.0,0.008443256150880145
qp03p8,0.0,0.016267254873638955
qp03p9,0.0,0.012253160412068257
qp03pb,0.0,0.044065508192797954
qp03pc,0.0,0.006203288389318783
qp03pd,0.0,0.030336035743447863
qp03pe,0.0,0.021903682649164233
qp03pf,0.0,0.003412116207463531
qp03pg,0.0,0.0
qp03pj,0.0,0.0
qp03pk,0.0,0.002065628896175966
qp03pm,0.0,0.002747863915023886
qp03pn,0.0,0.023439012448846216
qp03pp,0.0,0.14862496038282716
qp03pq,0.0,0.04181017299181561
qp03pr,0.0,0.1106648878884071
qp03ps,0.0,0.017727156174665804
qp03pt,0.0,0.006253795294448001
qp03pu,0.0,0.0002855259375884819
qp03pv,0.0,0.005878947895244619
qp03pw,0.0,0.033845784049595054
qp03px,0.0,0.07158656474510709
qp03py,0.0,0.017529672563343066
qp03pz,0.0,0.05574132513852506
qp03q0,0.0,0.02940049220631802
qp03q1,0.0,0.03503168416908464
qp03q2,0.0,0.07448965329943615
qp03q3,0.0,0.0775677133143638
qp03q4,0.0,0.01879586980853085
qp03q5,0.0,0.07022017404332197
qp03q6,0.0,0.07360730002793689
qp03q7,0.0,0.049339344575726536
qp03q8,0.0,0.06354839213413768
qp03q9,0.0,0.1448733324528744
qp03qb,0.0,0.09566836161090196
qp03qc,0.0,0.11200830331886683
qp03qd,0.0,0.14406123798696174
qp03qe,0.0,0.12577894182166785
qp03qf,0.0,0.2403473989592069
qp03qg,0.0,0.46047262160516805
qp03qh,0.0,0.061028039983126316
qp03qj,0.0,0.19546620619848262
qp03qk,0.0,0.019430913765470584
qp03qm,0.0,0.19223808375903095
qp03qn,0.0,0.02792688435477139
qp03qp,0.0,0.00011820328571223263
qp03qq,0.0,0.023261809998963455
qp03qr,0.0,0.0059783783988107235
qp03qs,0.0,0.12696047589778378
qp03qt,0.0,0.00018732924026326146
qp03qu,0.0,0.1488033476804348
qp03qv,0.0,0.08621392584463326
qp03qw,0.0,0.0016612354923200567
qp03qx,0.0,0.006258852548252968
qp03qy,0.0,0.10315853187228133
qp03qz,0.0,0.005896465167107943
qp03r0,0.0,0.12147902847092903
qp03r1,0.0,0.15356478697196266
qp03r2,0.0,0.18588341626650906
qp03r3,0.0,0.10273070912054356
qp03r4,0.0,0.11555831889351562
qp03r5,0.0,0.07965270645709228
qp03r6,0.0,0.10804347323670518
qp03r7,0.0,0.017803452125654647
qp03r8,0.0,0.06550878640441718
qp03r9,0.0,0.08895576048828024
qp03rb,0.0,0.025475101539374323
qp03rc,0.0,0.01401823970264435
qp03rd,0.0,0.05893169796943184
qp03re,0.0,0.11707063952515041
qp03rf,0.0,0.05937365909928429
qp03rg,0.0,0.05695549432840036
qp03rh,0.0,0.09097972837242656
qp03rj,0.0,0.09926634209743355
qp03rk,0.0,0.06932003976859091
qp03rm,0.0,0.1999450037402007
qp03rn,0.0,0.06300226747071515
qp03rp,0.0,0.05874197676569254
qp03rq,0.0,0.08758555316206847
qp03rr,0.0,0.10856773347016704
qp03rs,0.0,0.0479733345345501
qp03rt,0.0,0.1324280610157774
qp03ru,0.0,0.1197827659701956
qp03rv,0.0,0.13394328140089257
qp03rw,0.0,0.16106769437406449
qp03rx,0.0,0.11973490007666623
qp03ry,0.0,0.161624157282081
qp03rz,0.0,0.12046296774417545
qp03t2,0.0,0.006267041972510802
qp03t3,0.0,0.0165516069334984
qp03t6,0.0,0.012627324149425082
qp03t7,0.0,0.021135636449381337
qp03t8,0.0,0.04666970706293855
qp03t9,0.0,0.029235566125244614
qp03tb,0.0,0.06352684484643116
qp03tc,0.0,0.09825110726171532
qp03td,0.0,0.017741756681074992
qp03te,0.0,0.010493887847269838
